index,id,title,categories,abstract,doi,created,updated,authors
0,1606.04671,progressive neural networks,cs.lg,"learning to solve complex sequences of tasks--while both leveraging transfer and avoiding catastrophic forgetting--remains a key obstacle to achieving human-level intelligence. the progressive networks approach represents a step forward in this direction: they are immune to forgetting and can leverage prior knowledge via lateral connections to previously learned features. we evaluate this architecture extensively on a wide variety of reinforcement learning tasks (atari and 3d maze games), and show that it outperforms common baselines based on pretraining and finetuning. using a novel sensitivity measure, we demonstrate that transfer occurs at both low-level sensory and high-level control layers of the learned policy.",,2016-06-15,2022-10-22,"['andrei a. rusu', 'neil c. rabinowitz', 'guillaume desjardins', 'hubert soyer', 'james kirkpatrick', 'koray kavukcuoglu', 'razvan pascanu', 'raia hadsell']"
1,1903.09668,data augmentation for bayesian deep learning,stat.ml cs.lg stat.me,"deep learning (dl) methods have emerged as one of the most powerful tools for functional approximation and prediction. while the representation properties of dl have been well studied, uncertainty quantification remains challenging and largely unexplored. data augmentation techniques are a natural approach to provide uncertainty quantification and to incorporate stochastic monte carlo search into stochastic gradient descent (sgd) methods. the purpose of our paper is to show that training dl architectures with data augmentation leads to efficiency gains. we use the theory of scale mixtures of normals to derive data augmentation strategies for deep learning. this allows variants of the expectation-maximization and mcmc algorithms to be brought to bear on these high dimensional nonlinear deep learning models. to demonstrate our methodology, we develop data augmentation algorithms for a variety of commonly used activation functions: logit, relu, leaky relu and svm. our methodology is compared to traditional stochastic gradient descent with back-propagation. our optimization procedure leads to a version of iteratively re-weighted least squares and can be implemented at scale with accelerated linear algebra methods providing substantial improvement in speed. we illustrate our methodology on a number of standard datasets. finally, we conclude with directions for future research.",10.1214/22-ba1331,2019-03-22,2022-10-24,"['yuexi wang', 'nicholas g. polson', 'vadim o. sokolov']"
2,1904.10554,deep q-learning for nash equilibria: nash-dqn,cs.lg cs.gt q-fin.cp stat.ml,"model-free learning for multi-agent stochastic games is an active area of research. existing reinforcement learning algorithms, however, are often restricted to zero-sum games, and are applicable only in small state-action spaces or other simplified settings. here, we develop a new data efficient deep-q-learning methodology for model-free learning of nash equilibria for general-sum stochastic games. the algorithm uses a local linear-quadratic expansion of the stochastic game, which leads to analytically solvable optimal actions. the expansion is parametrized by deep neural networks to give it sufficient flexibility to learn the environment without the need to experience all state-action pairs. we study symmetry properties of the algorithm stemming from label-invariant stochastic games and as a proof of concept, apply our algorithm to learning optimal trading strategies in competitive electronic markets.",,2019-04-23,2022-10-23,"['philippe casgrain', 'brian ning', 'sebastian jaimungal']"
3,1908.05659,distributionally robust optimization: a review,math.oc cs.lg stat.ml,"the concepts of risk-aversion, chance-constrained optimization, and robust optimization have developed significantly over the last decade. statistical learning community has also witnessed a rapid theoretical and applied growth by relying on these concepts. a modeling framework, called distributionally robust optimization (dro), has recently received significant attention in both the operations research and statistical learning communities. this paper surveys main concepts and contributions to dro, and its relationships with robust optimization, risk-aversion, chance-constrained optimization, and function regularization.",10.5802/ojmo.15,2019-08-12,,"['hamed rahimian', 'sanjay mehrotra']"
4,1909.00931,transfer fine-tuning: a bert case study,cs.cl cs.lg,"a semantic equivalence assessment is defined as a task that assesses semantic equivalence in a sentence pair by binary judgment (i.e., paraphrase identification) or grading (i.e., semantic textual similarity measurement). it constitutes a set of tasks crucial for research on natural language understanding. recently, bert realized a breakthrough in sentence representation learning (devlin et al., 2019), which is broadly transferable to various nlp tasks. while bert's performance improves by increasing its model size, the required computational power is an obstacle preventing practical applications from adopting the technology. herein, we propose to inject phrasal paraphrase relations into bert in order to generate suitable representations for semantic equivalence assessment instead of increasing the model size. experiments on standard natural language understanding tasks confirm that our method effectively improves a smaller bert model while maintaining the model size. the generated model exhibits superior performance compared to a larger bert model on semantic equivalence assessment tasks. furthermore, it achieves larger performance gains on tasks with limited training datasets for fine-tuning, which is a property desirable for transfer learning.",10.18653/v1/d19-1542,2019-09-02,,"['yuki arase', 'junichi tsujii']"
5,1911.03867,a modular deep learning pipeline for galaxy-scale strong gravitational   lens detection and modeling,astro-ph.im astro-ph.co cs.lg,"upcoming large astronomical surveys are expected to capture an unprecedented number of strong gravitational lensing systems. deep learning is emerging as a promising practical tool for the detection and quantification of these galaxy-scale image distortions. the absence of large quantities of representative data from current astronomical surveys motivates the development of a robust forward-modeling approach using synthetic lensing images. using a mock sample of strong lenses created upon a state-of-the-art extragalactic catalogs, we train a modular deep learning pipeline for uncertainty-quantified detection and modeling with intermediate image processing components for denoising and deblending the lensing systems. we demonstrate a high degree of interpretability and controlled systematics due to domain-specific task modules trained with different stages of synthetic image generation. for lens detection and modeling, we obtain semantically meaningful latent spaces that separate classes of strong lens images and yield uncertainty estimates that explain the origin of misclassified images and provide probabilistic predictions for the lens parameters. validation of the inference pipeline has been carried out using images from the subaru telescope's hyper suprime-cam camera, and lsst desc simulated dc2 sky survey catalogues.",,2019-11-10,2022-10-21,"['sandeep madireddy', 'nesar ramachandra', 'nan li', 'james butler', 'prasanna balaprakash', 'salman habib', 'katrin heitmann', 'the lsst dark energy science collaboration']"
6,2002.05905,magneto: fingerprinting usb flash drives via unintentional magnetic   emissions,cs.cr cs.lg,"universal serial bus (usb) flash drives are nowadays one of the most convenient and diffused means to transfer files, especially when no internet connection is available. however, usb flash drives are also one of the most common attack vectors used to gain unauthorized access to host devices. for instance, it is possible to replace a usb drive so that when the usb key is connected, it would install passwords stealing tools, root-kit software, and other disrupting malware. in such a way, an attacker can steal sensitive information via the usb-connected devices, as well as inject any kind of malicious software into the host.   to thwart the above-cited raising threats, we propose magneto, an efficient, non-interactive, and privacy-preserving framework to verify the authenticity of a usb flash drive, rooted in the analysis of its unintentional magnetic emissions. we show that the magnetic emissions radiated during boot operations on a specific host are unique for each device, and sufficient to uniquely fingerprint both the brand and the model of the usb flash drive, or the specific usb device, depending on the used equipment. our investigation on 59 different usb flash drives---belonging to 17 brands, including the top brands purchased on amazon in mid-2019---, reveals a minimum classification accuracy of 98.2% in the identification of both brand and model, accompanied by a negligible time and computational overhead. magneto can also identify the specific usb flash drive, with a minimum classification accuracy of 91.2%. overall, magneto proves that unintentional magnetic emissions can be considered as a viable and reliable means to fingerprint read-only usb flash drives. finally, future research directions in this domain are also discussed.",10.1145/3422308,2020-02-14,2020-09-12,"['omar adel ibrahim', 'savio sciancalepore', 'gabriele oligeri', 'roberto di pietro']"
7,2004.05258,exploring optimal deep learning models for image-based malware variant   classification,cs.cr cs.lg,"analyzing a huge amount of malware is a major burden for security analysts. since emerging malware is often a variant of existing malware, automatically classifying malware into known families greatly reduces a part of their burden. image-based malware classification with deep learning is an attractive approach for its simplicity, versatility, and affinity with the latest technologies. however, the impact of differences in deep learning models and the degree of transfer learning on the classification accuracy of malware variants has not been fully studied. in this paper, we conducted an exhaustive survey of deep learning models using 24 imagenet pre-trained models and five fine-tuning parameters, totaling 120 combinations, on two platforms. as a result, we found that the highest classification accuracy was obtained by fine-tuning one of the latest deep learning models with a relatively low degree of transfer learning, and we achieved the highest classification accuracy ever in cross-validation on the malimg and drebin datasets. we also confirmed that this trend holds true for the recent malware variants using the virustotal 2020 windows and android datasets. the experimental results suggest that it is effective to periodically explore optimal deep learning models with the latest models and malware datasets by gradually reducing the degree of transfer learning from half.",10.1109/compsac54236.2022.00128,2020-04-10,2022-10-23,"['rikima mitsuhashi', 'takahiro shinagawa']"
8,2005.02607,towards quantum advantage via topological data analysis,quant-ph cs.cc cs.lg,"even after decades of quantum computing development, examples of generally useful quantum algorithms with exponential speedups over classical counterparts are scarce. recent progress in quantum algorithms for linear-algebra positioned quantum machine learning (qml) as a potential source of such useful exponential improvements. yet, in an unexpected development, a recent series of ""dequantization"" results has equally rapidly removed the promise of exponential speedups for several qml algorithms. this raises the critical question whether exponential speedups of other linear-algebraic qml algorithms persist. in this paper, we study the quantum-algorithmic methods behind the algorithm for topological data analysis of lloyd, garnerone and zanardi through this lens. we provide evidence that the problem solved by this algorithm is classically intractable by showing that its natural generalization is as hard as simulating the one clean qubit model -- which is widely believed to require superpolynomial time on a classical computer -- and is thus very likely immune to dequantizations. based on this result, we provide a number of new quantum algorithms for problems such as rank estimation and complex network analysis, along with complexity-theoretic evidence for their classical intractability. furthermore, we analyze the suitability of the proposed quantum algorithms for near-term implementations. our results provide a number of useful applications for full-blown, and restricted quantum computers with a guaranteed exponential speedup over classical methods, recovering some of the potential for linear-algebraic qml to become one of quantum computing's killer applications.",,2020-05-06,2022-10-21,"['casper gyurik', 'chris cade', 'vedran dunjko']"
9,2007.09855,wide boosting,cs.lg stat.ml,"gradient boosting (gb) is a popular methodology used to solve prediction problems by minimizing a differentiable loss function, $l$. gb performs very well on tabular machine learning (ml) problems; however, as a pure ml solver it lacks the ability to fit models with probabilistic but correlated multi-dimensional outputs, for example, multiple correlated bernoulli outputs. gb also does not form intermediate abstract data embeddings, one property of deep learning that gives greater flexibility and performance on other types of problems. this paper presents a simple adjustment to gb motivated in part by artificial neural networks. specifically, our adjustment inserts a matrix multiplication between the output of a gb model and the loss, $l$. this allows the output of a gb model to have increased dimension prior to being fed into the loss and is thus ``wider'' than standard gb implementations. we call our method wide boosting (wb) and show that wb outperforms gb on mult-dimesional output tasks and that the embeddings generated by wb contain are more useful in downstream prediction tasks than gb output predictions alone.",,2020-07-19,2022-10-22,['michael t. horrell']
