paper_id,evaluation_type,source_file,gpt_problem,gpt_problem_description,problem_agreement,gpt_objective,gpt_objective_description,objective_agreement,gpt_research_method,gpt_research_method_description,research_method_agreement,gpt_research_questions,gpt_research_questions_description,research_questions_agreement,gpt_pseudocode,gpt_pseudocode_description,pseudocode_agreement,gpt_dataset,gpt_dataset_description,dataset_agreement,gpt_hypothesis,gpt_hypothesis_description,hypothesis_agreement,gpt_prediction,gpt_prediction_description,prediction_agreement,gpt_code_available,gpt_code_available_description,code_available_agreement,gpt_software_dependencies,gpt_software_dependencies_description,software_dependencies_agreement,gpt_experiment_setup,gpt_experiment_setup_description,experiment_setup_agreement
1606.04671,agreement_gpt,abstract_gpt_agreement_with_manual.csv,True,Learning to solve complex sequences of tasks--while both leveraging transfer and avoiding catastrophic forgetting--remains a key obstacle to achieving human-level intelligence.,True,True,"The objective is not explicitly stated in the abstract, but it can be implied from """"The progressive networks approach represents a step forward in this direction: they are immune to forgetting and can leverage prior knowledge via lateral connections to previously learned features.",False,True,"Using a novel sensitivity measure, we demonstrate that transfer occurs at both low-level sensory and high-level control layers of the learned policy.",False,False,Not mentioned in the abstract,True,False,Not mentioned in the abstract,True,False,"We evaluate this architecture extensively on a wide variety of reinforcement learning tasks (Atari and 3D maze games)"""" implies usage of dataset, but it is not explicitly mentioned if the dataset is shared or made available",True,False,Not mentioned in the abstract,True,True,"""and show that it outperforms common baselines based on pretraining and finetuning. """" implies a prediction but not a very explicit one.",True,False,Not mentioned in the abstract,True,False,Not mentioned in the abstract,True,False,"""""We evaluate this architecture extensively on a wide variety of reinforcement learning tasks (Atari and 3D maze games)"""" implies an experimental setup but it is not detailed.",True
1903.09668,agreement_gpt,abstract_gpt_agreement_with_manual.csv,True,"While the representation properties of DL have been well studied, uncertainty quantification remains challenging and largely unexplored.",True,True,The purpose of our paper is to show that training DL architectures with data augmentation leads to efficiency gains.,True,True,We use the theory of scale mixtures of normals to derive data augmentation strategies for deep learning,True,False,Not explicitly mentioned,True,False,Not mentioned,True,False,We illustrate our methodology on a number of standard datasets.,False,False,"The hypothesis isn't directly stated, though it can be implied from """"The purpose of our paper is to show that training DL architectures with data augmentation leads to efficiency gains.",False,False,Not mentioned,True,False,Not mentioned,True,False,Not mentioned,True,True,Our optimization procedure leads to a version of iteratively re-weighted least squares and can be implemented at scale with accelerated linear algebra methods providing substantial improvement in speed,False
1904.10554,agreement_gpt,abstract_gpt_agreement_with_manual.csv,True,"Model-free learning for multi-agent stochastic games is an active area of research. Existing reinforcement learning algorithms, however, are often restricted to zero-sum games, and are applicable only in small state-action spaces or other simplified settings.",True,True,"Here, we develop a new data efficient Deep-Q-learning methodology for model-free learning of Nash equilibria for general-sum stochastic games.",True,True,"The algorithm uses a local linear-quadratic expansion of the stochastic game, which leads to analytically solvable optimal actions. The expansion is parametrized by deep neural networks to give it sufficient flexibility to learn the environment without the need to experience all state-action pairs.",True,False,,True,False,,True,False,,True,False,,True,False,,True,False,,True,False,,True,False,"as a proof of concept, apply our algorithm to learning optimal trading strategies in competitive electronic markets.",False
1908.05659,agreement_gpt,abstract_gpt_agreement_with_manual.csv,True,"The concepts of risk-aversion, chance-constrained optimization, and robust optimization have developed significantly over the last decade.",False,True,"This paper surveys main concepts and contributions to DRO, and its relationships with robust optimization, risk-aversion, chance-constrained optimization, and function regularization.",True,False,The specific research method isn't mentioned in the given abstract.,True,False,Research questions aren't explicitly mentioned in the given abstract.,True,False,No pseudocode is described in the provided abstract.,True,False,The data set's availability is not mentioned in the provided abstract.,True,False,No explicit hypotheses are made in the given abstract.,True,False,There isn't an explicit prediction in the provided abstract.,True,False,The source code isn't mentioned in the provided abstract.,True,False,No mention of software packages / dependencies used to run the code in the given abstract.,True,False,Experimental setup isn't described in the provided abstract.,True
1909.00931,agreement_gpt,abstract_gpt_agreement_with_manual.csv,True,"""While BERT's performance improves by increasing its model size, the required computational power is an obstacle preventing practical applications from adopting the technology",True,True,"""Herein, we propose to inject phrasal paraphrase relations into BERT in order to generate suitable representations for semantic equivalence assessment instead of increasing the model size.",True,True,"we propose to inject phrasal paraphrase relations into BERT"""", """"Experiments on standard natural language understanding tasks confirm that our method effectively improves a smaller BERT model while maintaining the model size.",True,False,Not Mentioned,True,False,Not Mentioned,True,False,"Mention of """"Experiments on standard natural language understanding tasks"""" implies some type of dataset was used but not specifically shared.",True,True,"Herein, we propose to inject phrasal paraphrase relations into BERT in order to generate suitable representations for semantic equivalence assessment instead of increasing the model size.",True,True,"The generated model exhibits superior performance compared to a larger BERT model on semantic equivalence assessment tasks."""" and  """"Furthermore, it achieves larger performance gains on tasks with limited training datasets for fine-tuning, which is a property desirable for transfer learning.",False,False,Not Mentioned,True,True,Not Mentioned,True,True,Experiments on standard natural language understanding tasks confirm that our method effectively improves a smaller BERT model while maintaining the model size.,False
1911.03867,agreement_gpt,abstract_gpt_agreement_with_manual.csv,True,Upcoming large astronomical surveys are expected to capture an unprecedented number of strong gravitational lensing systems.,False,True,Deep learning is emerging as a promising practical tool for the detection and quantification of these galaxy-scale image distortions.,False,True,"Using a mock sample of strong lenses created upon a state-of-the-art extragalactic catalogs, we train a modular deep learning pipeline for uncertainty-quantified detection and modeling with intermediate image processing components for denoising and deblending the lensing systems.",True,False,,True,False,,True,True,"Validation of the inference pipeline has been carried out using images from the Subaru telescope's Hyper Suprime-Cam camera, and LSST DESC simulated DC2 sky survey catalogues",False,False,,True,False,We demonstrate a high degree of interpretability and controlled systematics due to domain-specific task modules trained with different stages of synthetic image generation,False,False,,True,False,,True,True,We obtain semantically meaningful latent spaces that separate classes of strong lens images and yield uncertainty estimates that explain the origin of misclassified images and provide probabilistic predictions for the lens parameters.,False
2002.05905,agreement_gpt,abstract_gpt_agreement_with_manual.csv,True,"However, USB flash drives are also one of the most common attack vectors used to gain unauthorized access to host devices. For instance, it is possible to replace a USB drive so that when the USB key is connected, it would install passwords stealing tools, root-kit software, and other disrupting malware.",True,True,"To thwart the above-cited raising threats, we propose MAGNETO, an efficient, non-interactive, and privacy-preserving framework to verify the authenticity of a USB flash drive, rooted in the analysis of its unintentional magnetic emissions.",True,True,"We show that the magnetic emissions radiated during boot operations on a specific host are unique for each device, and sufficient to uniquely fingerprint both the brand and the model of the USB flash drive, or the specific USB device, depending on the used equipment.",False,False,,True,False,,True,True,"Our investigation on 59 different USB flash drives---belonging to 17 brands, including the top brands purchased on Amazon in mid-2019---reveals a minimum classification accuracy of 98.2% in the identification of both brand and model, accompanied by a negligible time and computational overhead.",False,False,,True,True,"MAGNETO can also identify the specific USB Flash drive, with a minimum classification accuracy of 91.2%",True,False,,True,False,,True,True,"""Our investigation on 59 different USB flash drives---belonging to 17 brands, including the top brands purchased on Amazon in mid-2019---, reveals a minimum classification accuracy of 98.2% in the identification of both brand and model, accompanied by a negligible time and computational overhead",False
2004.05258,agreement_gpt,abstract_gpt_agreement_with_manual.csv,True,Analyzing a huge amount of malware is a major burden for security analysts.,True,True,"In this paper, we conducted an exhaustive survey of deep learning models using 24 ImageNet pre-trained models and five fine-tuning parameters, totaling 120 combinations, on two platforms",True,True,"we conducted an exhaustive survey of deep learning models using 24 ImageNet pre-trained models and five fine-tuning parameters, totaling 120 combinations, on two platforms.",False,False,,True,False,,True,True,"on the Malimg and Drebin datasets', 'we also confirmed that this trend holds true for the recent malware variants using the VirusTotal 2020 Windows and Android datasets",False,False,,True,False,,True,False,,True,False,,True,True,"using 24 ImageNet pre-trained models and five fine-tuning parameters, totaling 120 combinations, on two platforms.",True
2009.01947,agreement_gpt,abstract_gpt_agreement_with_manual.csv,True,"We present combinatorial and parallelizable algorithms for maximization of a submodular function, not necessarily monotone, with respect to a size constraint",True,False,N/A,False,True,"We improve the best approximation factor achieved by an algorithm that has optimal adaptivity and nearly optimal query complexity to $0.193 - \varepsilon$.' and also 'In this version, we propose a fixed and improved subroutine to add a set with high average marginal gain, \threseq, which returns a solution in $O( \log(n) )$ adaptive rounds with high probability.",False,False,N/A,True,False,N/A,True,False,N/A,True,False,N/A,True,False,N/A,True,False,N/A,True,False,N/A,True,True,"Our algorithms are empirically validated to use a low number of adaptive rounds and total queries while obtaining solutions with high objective value in comparison with state-of-the-art approximation algorithms, including continuous algorithms that use the multilinear extension.",True
2010.04261,agreement_gpt,abstract_gpt_agreement_with_manual.csv,True,'Hessian captures important properties of the deep neural network loss landscape.' and 'Previous works have observed low rank structure in the Hessians of neural networks.',True,True,"In this paper, we propose a decoupling conjecture that decomposes the layer-wise Hessians of a network as the Kronecker product of two smaller matrices.",True,True,We can analyze the properties of these smaller matrices and prove the structure of top eigenspace random 2-layer networks.' and 'All of these can be verified empirically for deeper networks.,True,False,,True,False,,True,False,,True,False,"The decoupling conjecture has several other interesting implications - top eigenspaces for different models have surprisingly high overlap, and top eigenvectors form low rank matrices when they are reshaped into the same shape as the corresponding weight matrix.",True,True,"Finally, we use the structure of layer-wise Hessian to get better explicit generalization bounds for neural networks",False,False,,True,False,,True,False,All of these can be verified empirically for deeper networks.,True
