paper_id,evaluation_type,source_file,paper_url,notes,empirical_dataset,code_available_in_article,papers_with_code_link_available,papers_with_code_link_matches,result_replication_code_available,is_package,has_wrapper_scripts,hardware_specifications_provided,software_dependencies,likely_to_reproduce,readme_parsed_successfully,code_avail_url,pwc_link_desc,code_language,wrapper_scripts_desc,software_dependencies_desc,will_it_reproduce_desc,problem,problem_description,objective,objective_description,research_method,research_method_description,research_questions,research_questions_description,pseudocode,pseudocode_description,dataset,dataset_description,hypothesis,hypothesis_description,prediction,experiment_setup,experiment_setup_description
1606.04671,manuscript,full_manuscript_manual_evaluation.csv,https://arxiv.org/pdf/1606.04671.pdf,No code or data released,,False,False,False,,,False,,False,,,,,,,,,False,The contributions of this paper are threefold,False,,False,,False,,False,,False,,False,,False,True,
1903.09668,manuscript,full_manuscript_manual_evaluation.csv,https://arxiv.org/pdf/1903.09668.pdf,No code or data released,,False,False,False,,,False,,False,,,,,,,,,False,,False,,False,,False,,True,"Called ""Algorithm 1, 2..""",False,"Has links to UCI and Kaggle datasets, and a reference to another paper's dataset",False,,False,True,"Under the heading ""Experiments"""
1904.10554,manuscript,full_manuscript_manual_evaluation.csv,https://arxiv.org/pdf/1904.10554.pdf,No code or data released,,False,False,False,,,False,,False,,,,,,,,,False,,False,"Rather than taking a model-based approach, it is possible to derive non-parametric reinforcement-learning (RL) methods to study these equilibria. The main idea behind these methods is to directly approximate equilibria from simulations or observed data, providing a powerful alternative to the usual approach",False,,False,,True,"Called ""Algorithm 1, 2..""",False,,False,,False,True,"Under the heading ""Experiments"""
1908.05659,manuscript,full_manuscript_manual_evaluation.csv,https://arxiv.org/pdf/1908.05659.pdf,"90 page review, no experiments, mostly math",,False,False,False,,,False,,False,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,False,
1909.00931,manuscript,full_manuscript_manual_evaluation.csv,https://arxiv.org/pdf/1909.00931.pdf,,,True,True,True,,,False,True,False,,,https://github.com/yukiar/TransferFT,"Yes, same repo, but still no code (Official Code)",Python,,,,True,These tasks are central problems in natural language unde,False,,False,,False,,True,"Called ""Algorithm 1, 2..""",True,They link 4 datasets in the paper,True,,False,True,"""Evaluation setting"""
1911.03867,manuscript,full_manuscript_manual_evaluation.csv,https://arxiv.org/pdf/1911.03867.pdf,No code or data released,,False,False,False,,,False,,False,,,,,,,,,False,,False,,False,,False,,False,,True,Mentions dataset references and details but not obtainable,False,,False,False,
2002.05905,manuscript,full_manuscript_manual_evaluation.csv,https://arxiv.org/pdf/2002.05905.pdf,No code or data shared,,False,False,False,,,False,,False,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,True,Experimental assessment
2004.05258,manuscript,full_manuscript_manual_evaluation.csv,https://arxiv.org/pdf/2004.05258.pdf,,,False,False,False,,,False,,False,,,,,,,,,False,,False,,True,,False,,False,,True,Dataset references,False,,False,True,Setup section under Evaluation Result
2009.01947,manuscript,full_manuscript_manual_evaluation.csv,https://arxiv.org/pdf/2009.01947.pdf,Good! Has scripts to reproduce figures. Paper compares algorithms,,True,True,True,True,,True,,True,True,,https://gitlab.com/luciacyx/nm-adaptive-code,"Yes, same repo (Official Code)","C++, python","gen-table.bash, reproduce.bash",NA/makefile,,False,,False,,False,,False,,True,"Called ""Algorithm 1, 2..""",True,We evaluate on a variety of network technologies from the Stanford Large Network Dataset Collection,False,,False,True,"Appendix, Additional Experiments"
2010.04261,manuscript,full_manuscript_manual_evaluation.csv,https://arxiv.org/pdf/2010.04261.pdf,72 page review,,False,False,False,,,False,,False,,,,,,,,,False,Towards this goal,False,,False,,False,,False,,False,,False,,False,True,Detailed Experiment Setup
2010.04855,manuscript,full_manuscript_manual_evaluation.csv,https://arxiv.org/pdf/2010.04855.pdf,"Review, mentions r package for sone of the simulations",,False,False,False,,,False,,False,False,,,,R?,,,,False,,False,,False,,False,,False,,True,We use the dataset published by [26],False,,False,False,
2011.11576,manuscript,full_manuscript_manual_evaluation.csv,https://arxiv.org/pdf/2011.11576.pdf,,,True,True,False,,True,True,True,False,False,,https://github.com/jpbrooks/conjecturing,"Yes, but original repo, not the fork (Official Code)",Sage,"sage package, has instructions on load (says in readme)",Not sure,"Too many results and not enough code, somewhat subjective",True,,False,,False,,False,,True,"Called ""Algorithm 1, 2..""",True,Dataset references,True,Hypotheses,False,True,Experimental setup
2012.09302,manuscript,full_manuscript_manual_evaluation.csv,https://arxiv.org/pdf/2012.09302.pdf,Good! Python package. Well documented and seems reproducible,,True,True,True,True,True,True,,True,True,,https://github.com/ain-soph/trojanzoo,"Yes, same repo (Official Code)",,setup.py,requirements.txt,,False,,False,,False,,True,RQ_1,False,,True,"Details in experimental setup. CIFAR,  ImageNet..",False,,False,True,Experimental Setting
