Paper_ID,Matched_File,Category
1606.04671,Code provided but no matches,Others
1903.09668,Code provided but no matches,Others
1904.10554,Code provided but no matches,Others
1908.05659,Code provided but no matches,Others
1909.00931,Code provided but no matches,Others
1911.03867,Code provided but no matches,Others
2002.05905,Code provided but no matches,Others
2004.05258,Code provided but no matches,Others
2009.01947,Code provided but no matches,Others
2010.04261,Code provided but no matches,Others
2010.04855,Code provided but no matches,Others
2011.11576,Code provided but no matches,Others
2012.09302,Code provided but no matches,Others
2101.07354,Code provided but no matches,Others
2102.11887,Code provided but no matches,Others
2104.11893,Code provided but no matches,Others
2104.12546,Code provided but no matches,Others
2105.01099,Code provided but no matches,Others
2105.01937,Code provided but no matches,Others
2105.15197,Code provided but no matches,Others
2106.01528,Code provided but no matches,Others
2106.03157,Code provided but no matches,Others
2106.03725,Code provided but no matches,Others
2106.06927,No code provided,Others
2106.07704,No code provided,Others
2106.10898,No code provided,Others
2106.12177,No code provided,Others
2106.12936,No code provided,Others
2106.13823,No code provided,Others
2107.01131,No code provided,Others
2108.09779,No code provided,Others
2109.01372,No code provided,Others
2109.12784,No code provided,Others
2110.02343,No code provided,Others
2110.02474,No code provided,Others
2110.03135,No code provided,Others
2110.05169,No code provided,Others
2110.08255,No code provided,Others
2110.08432,No code provided,Others
2110.09902,No code provided,Others
2110.11688,No code provided,Others
2110.14241,No code provided,Others
2111.02997,No code provided,Others
2111.03664,No code provided,Others
2111.08356,No code provided,Others
2111.12673,No code provided,Others
2111.15449,No code provided,Others
2112.00016,No code provided,Others
2112.03432,No code provided,Others
2112.04871,No code provided,Others
