paper,problem,problem_phrase,objective,objective_phrase,research_method,research_method_phrase,research_questions,research_questions_phrase,pseudocode,pseudocode_phrase,dataset,dataset_phrase,hypothesis,hypothesis_phrase,prediction,prediction_phrase,code_avail,code_avail_phrase,software_dependencies,software_dependencies_phrase,experiment_setup,experiment_setup_phrase
Paper,Problem,Column1,Objective,Column2,Research method,Column3,Research questions,Column4,Pseudocode,Column5,Train/test/validation dataset,Column6,Hypothesis,Column7,Prediction,Column10,Code,Column8,Software dependencies,Column11,Experiment setup,Column9
1606.04671,0,Learning to solve complex sequences of tasks--while both leveraging transfer and avoiding catastrophic forgetting--remains a key obstacle to achieving human-level intelligence.,0,"Using a novel sensitivity measure, we demonstrate that transfer occurs at both low-level sensory and high-level control layers of the learned policy.",0,,0,,0,,0,,0,,0,,0,,0,,0,
1903.09668,0," While the representation properties of
DL have been well studied, uncertainty quantification remains challenging and largely unexplored.",0,The purpose of our paper is to show that training DL architectures with data augmentation leads to efficiency gains.,1,"We use the theory of scale mixtures of normals to derive data augmentation strategies for deep learning. This allows variants of the expectation-maximization and MCMC algorithms to be brought to bear on these high dimensional nonlinear deep learning models. To demonstrate our methodology, we develop data augmentation algorithms for a variety of commonly used activation functions: logit, ReLU, leaky ReLU and SVM. Our methodology is compared to traditional stochastic gradient descent with back-propagation. Our optimization procedure leads to a version of iteratively re-weighted least squares and can be implemented at scale with accelerated linear algebra methods providing substantial improvement in speed. We illustrate our methodology on a number of standard datasets. Finally, we conclude with directions for future research.",0,,0,,0,,0,,0,,0,,0,,0,
1904.10554,0,"Model-free learning for multi-agent stochastic games is an active area of
research. Existing reinforcement learning algorithms, however, are often
restricted to zero-sum games, and are applicable only in small state-action
spaces or other simplified settings.",0,"Here, we develop a new data efficient
Deep-Q-learning methodology for model-free learning of Nash equilibria for
general-sum stochastic games.",0,"The algorithm uses a local linear-quadratic
expansion of the stochastic game, which leads to analytically solvable optimal
actions. The expansion is parametrized by deep neural networks to give it
sufficient flexibility to learn the environment without the need to experience
all state-action pairs. We study symmetry properties of the algorithm stemming
from label-invariant stochastic games and as a proof of concept, apply our
algorithm to learning optimal trading strategies in competitive electronic
markets.",0,,0,,0,,0,,0,,0,,0,,0,
1908.05659,0,,0,"This paper surveys
main concepts and contributions to DRO, and its relationships with robust
optimization, risk-aversion, chance-constrained optimization, and function
regularization.",0,,0,,0,,0,,0,,0,,0,,0,,0,
1909.00931,0,"While BERT's performance improves by increasing its model
size, the required computational power is an obstacle preventing practical
applications from adopting the technology.",0,"Herein, we propose to inject phrasal
paraphrase relations into BERT in order to generate suitable representations
for semantic equivalence assessment instead of increasing the model size.",0,"Herein, we propose to inject phrasal
paraphrase relations into BERT in order to generate suitable representations
for semantic equivalence assessment instead of increasing the model size.
Experiments on standard natural language understanding tasks confirm that our
method effectively improves a smaller BERT model while maintaining the model
size. ",0,,0,,0,,0," Herein, we propose to inject ",0,,0,,0,,0,
1911.03867,0,The absence of large quantities of representative data from current astronomical surveys motivates the development,0,"The absence of large quantities of
representative data from current astronomical surveys motivates the development
of a robust forward-modeling approach using synthetic lensing images. Using a
mock sample of strong lenses created upon a state-of-the-art extragalactic
catalogs, we train a modular deep learning pipeline for uncertainty-quantified
detection and modeling with intermediate image processing components for
denoising and deblending the lensing systems.",0," Using a mock sample of strong lenses created upon a state-of-the-art extragalactic catalogs, we train a modular deep learning pipeline for uncertainty-quantified detection and modeling with intermediate image processing components for denoising and deblending the lensing systems. We demonstrate a high degree of interpretability and controlled systematics due to domain-specific task modules trained with different stages of synthetic image generation. For lens detection and modeling, we obtain semantically meaningful latent spaces that separate classes of strong lens images and yield uncertainty estimates that explain the origin of misclassified images and provide probabilistic predictions for the lens parameters. Validation of the inference pipeline has been carried out using images from the Subaru telescope's Hyper Suprime-Cam camera, and LSST DESC simulated DC2 sky survey catalogues.",0,,0,,0,,0,,0,,0,,0,,0,
2002.05905,0,"However, USB flash drives are also one of the most
common attack vectors used to gain unauthorized access to host devices. For
instance, it is possible to replace a USB drive so that when the USB key is
connected, it would install passwords stealing tools, root-kit software, and
other disrupting malware. In such a way, an attacker can steal sensitive
information via the USB-connected devices, as well as inject any kind of
malicious software into the host.",0,"To thwart the above-cited raising threats, we propose MAGNETO",0,,0,,0,,0,,0,,0,"MAGNETO can also identify the
specific USB Flash drive, with a minimum classification accuracy of 91.2%",0,,0,,0,
2004.05258,0,"Analyzing a huge amount of malware is a major burden for security analysts. Since emerging malware is often a variant of existing malware, automatically classifying malware into known families greatly reduces a part of their burden.",0,"In this paper, we conducted an exhaustive survey of deep learning models using 24 ImageNet pre-trained models and five fine-tuning parameters, totaling 120 combinations, on two platforms.",0,,0,,0,,0,,0,,0,,0,,0,,0,"In this paper, we conducted an exhaustive survey of deep learning models using 24 ImageNet pre-trained models and five fine-tuning parameters, totaling 120 combinations, on two platforms."
2009.01947,0,"We present combinatorial and parallelizable algorithms for maximization of a submodular function, not necessarily monotone, with respect to a size constraint.",0,"In this
version, we propose a fixed and improved subroutine to add a set with high
average marginal gain, \threseq, which returns a solution in $O( \log(n) )$
adaptive rounds with high probability. ",0,,0,,0,,0,,0,,0,,0,,0,,0,"In this version, we propose a fixed and improved subroutine to add a set with high average marginal gain, \threseq, which returns a solution in $O( \log(n) )$ adaptive rounds with high probability. Moreover, we provide two approximation algorithms. The first has approximation ratio"
