Note: The 3rd column of each metric is the comparision with the manually evaluated abstract. 1 signifies true/correct judgement by GPT. It doesn't necessarily have to agree with the manual evaluation as there were a couple of papers where GPT correctly identified metrics that were missed in the manual evaluation. Highlighted cells indicate interesting findings (GPT was mistaken/Manual evaluation was incorrect/etc.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paper,problem,problem_phrase,problem_phrase_comparision,objective,objective_phrase,objective_phrase_comparision,research_method,research_method_phrase,research_method_phrase_comparision,research_questions,research_questions_phrase,research_questions_phrase_comparision,pseudocode,pseudocode_phrase,pseudocode_phrase_comparision,dataset,dataset_phrase,dataset_phrase_comparision,hypothesis,hypothesis_phrase,hypothesis_phrase_comparision,prediction,prediction_phrase,prediction_phrase_comparision,code_avail,code_avail_phrase,code_avail_phrase_comparision,software_dependencies,software_dependencies_phrase,software_dependencies_phrase_comparision,experiment_setup,experiment_setup_phrase,experiment_setup_phrase_comparision,
Paper,Problem,Column1,Column12,Objective,Column2,Column22,Research method,Column3,Column32,Research questions,Column4,Column42,Pseudocode,Column5,Column52,Train/test/validation dataset,Column6,Column62,Hypothesis,Column7,Column72,Prediction,Column10,Column102,Code,Column8,Column82,Software dependencies,Column11,Column112,Experiment setup,Column9,Column92,Full abstract
1606.04671,1,Learning to solve complex sequences of tasks--while both leveraging transfer and avoiding catastrophic forgetting--remains a key obstacle to achieving human-level intelligence.,1,0.7,"The objective is not explicitly stated in the abstract, but it can be implied from """"The progressive networks approach represents a step forward in this direction: they are immune to forgetting and can leverage prior knowledge via lateral connections to previously learned features.",0,1,"Using a novel sensitivity measure, we demonstrate that transfer occurs at both low-level sensory and high-level control layers of the learned policy.",0,0,Not mentioned in the abstract,1,0,Not mentioned in the abstract,1,0.5,"We evaluate this architecture extensively on a wide variety of reinforcement learning tasks (Atari and 3D maze games)"""" implies usage of dataset, but it is not explicitly mentioned if the dataset is shared or made available",1,0,Not mentioned in the abstract,1,0.7,"""and show that it outperforms common baselines based on pretraining and finetuning. """" implies a prediction but not a very explicit one.",1,0,Not mentioned in the abstract,1,0,Not mentioned in the abstract,1,0.5,"""""We evaluate this architecture extensively on a wide variety of reinforcement learning tasks (Atari and 3D maze games)"""" implies an experimental setup but it is not detailed.",1,
1903.09668,1,"While the representation properties of DL have been well studied, uncertainty quantification remains challenging and largely unexplored.",1,1,The purpose of our paper is to show that training DL architectures with data augmentation leads to efficiency gains.,1,1,We use the theory of scale mixtures of normals to derive data augmentation strategies for deep learning,1,0,Not explicitly mentioned ,1,0,Not mentioned ,1,0.5,We illustrate our methodology on a number of standard datasets.,0,0.5,"The hypothesis isn't directly stated, though it can be implied from """"The purpose of our paper is to show that training DL architectures with data augmentation leads to efficiency gains.",0,0,Not mentioned ,1,0,Not mentioned ,1,0,Not mentioned ,1,1,Our optimization procedure leads to a version of iteratively re-weighted least squares and can be implemented at scale with accelerated linear algebra methods providing substantial improvement in speed,0,
1904.10554,1,"Model-free learning for multi-agent stochastic games is an active area of research. Existing reinforcement learning algorithms, however, are often restricted to zero-sum games, and are applicable only in small state-action spaces or other simplified settings.",1,1,"Here, we develop a new data efficient Deep-Q-learning methodology for model-free learning of Nash equilibria for general-sum stochastic games.",1,1,"The algorithm uses a local linear-quadratic expansion of the stochastic game, which leads to analytically solvable optimal actions. The expansion is parametrized by deep neural networks to give it sufficient flexibility to learn the environment without the need to experience all state-action pairs.",1,0,N/A,1,0,N/A,1,0,N/A,1,0,N/A,1,0,N/A,1,0,N/A,1,0,N/A,1,0.5,"as a proof of concept, apply our algorithm to learning optimal trading strategies in competitive electronic markets.",0,
1908.05659,0.8,"The concepts of risk-aversion, chance-constrained optimization, and robust optimization have developed significantly over the last decade.",0,1,"This paper surveys main concepts and contributions to DRO, and its relationships with robust optimization, risk-aversion, chance-constrained optimization, and function regularization.",1,0,The specific research method isn't mentioned in the given abstract.,1,0,Research questions aren't explicitly mentioned in the given abstract.,1,0,No pseudocode is described in the provided abstract.,1,0,The data set's availability is not mentioned in the provided abstract.,1,0,No explicit hypotheses are made in the given abstract.,1,0,There isn't an explicit prediction in the provided abstract.,1,0,The source code isn't mentioned in the provided abstract.,1,0,No mention of software packages / dependencies used to run the code in the given abstract.,1,0,Experimental setup isn't described in the provided abstract.,1,
1909.00931,1,"""While BERT's performance improves by increasing its model size, the required computational power is an obstacle preventing practical applications from adopting the technology",1,1,"""Herein, we propose to inject phrasal paraphrase relations into BERT in order to generate suitable representations for semantic equivalence assessment instead of increasing the model size.",1,1,"we propose to inject phrasal paraphrase relations into BERT"""", """"Experiments on standard natural language understanding tasks confirm that our method effectively improves a smaller BERT model while maintaining the model size.",1,0,Not Mentioned,1,0,Not Mentioned,1,0.5,"Mention of """"Experiments on standard natural language understanding tasks"""" implies some type of dataset was used but not specifically shared.",1,1,"Herein, we propose to inject phrasal paraphrase relations into BERT in order to generate suitable representations for semantic equivalence assessment instead of increasing the model size.",1,1,"The generated model exhibits superior performance compared to a larger BERT model on semantic equivalence assessment tasks."""" and  """"Furthermore, it achieves larger performance gains on tasks with limited training datasets for fine-tuning, which is a property desirable for transfer learning.",0,0,Not Mentioned,1,1,Not Mentioned,1,1,Experiments on standard natural language understanding tasks confirm that our method effectively improves a smaller BERT model while maintaining the model size.,0,
1911.03867,1,Upcoming large astronomical surveys are expected to capture an unprecedented number of strong gravitational lensing systems.,0,1,Deep learning is emerging as a promising practical tool for the detection and quantification of these galaxy-scale image distortions.,0,1,"Using a mock sample of strong lenses created upon a state-of-the-art extragalactic catalogs, we train a modular deep learning pipeline for uncertainty-quantified detection and modeling with intermediate image processing components for denoising and deblending the lensing systems.",1,0,,1,0,,1,0.75,"Validation of the inference pipeline has been carried out using images from the Subaru telescope's Hyper Suprime-Cam camera, and LSST DESC simulated DC2 sky survey catalogues",0,0,,1,0.5,We demonstrate a high degree of interpretability and controlled systematics due to domain-specific task modules trained with different stages of synthetic image generation,0,0,,1,0,,1,0.7,We obtain semantically meaningful latent spaces that separate classes of strong lens images and yield uncertainty estimates that explain the origin of misclassified images and provide probabilistic predictions for the lens parameters.,0,
2002.05905,1,"However, USB flash drives are also one of the most common attack vectors used to gain unauthorized access to host devices. For instance, it is possible to replace a USB drive so that when the USB key is connected, it would install passwords stealing tools, root-kit software, and other disrupting malware.",1,1,"To thwart the above-cited raising threats, we propose MAGNETO, an efficient, non-interactive, and privacy-preserving framework to verify the authenticity of a USB flash drive, rooted in the analysis of its unintentional magnetic emissions.",1,1,"We show that the magnetic emissions radiated during boot operations on a specific host are unique for each device, and sufficient to uniquely fingerprint both the brand and the model of the USB flash drive, or the specific USB device, depending on the used equipment.",0,0,,1,0,,1,1,"Our investigation on 59 different USB flash drives---belonging to 17 brands, including the top brands purchased on Amazon in mid-2019---reveals a minimum classification accuracy of 98.2% in the identification of both brand and model, accompanied by a negligible time and computational overhead.",0,0,,1,1,"MAGNETO can also identify the specific USB Flash drive, with a minimum classification accuracy of 91.2%",1,0,,1,0,,1,1,"""Our investigation on 59 different USB flash drives---belonging to 17 brands, including the top brands purchased on Amazon in mid-2019---, reveals a minimum classification accuracy of 98.2% in the identification of both brand and model, accompanied by a negligible time and computational overhead",0,
2004.05258,1,Analyzing a huge amount of malware is a major burden for security analysts.,1,1,"In this paper, we conducted an exhaustive survey of deep learning models using 24 ImageNet pre-trained models and five fine-tuning parameters, totaling 120 combinations, on two platforms",1,1,"we conducted an exhaustive survey of deep learning models using 24 ImageNet pre-trained models and five fine-tuning parameters, totaling 120 combinations, on two platforms.",0,0,,1,0,,1,1,"on the Malimg and Drebin datasets', 'we also confirmed that this trend holds true for the recent malware variants using the VirusTotal 2020 Windows and Android datasets",0,0,,1,0,,1,0,,1,0,,1,1,"using 24 ImageNet pre-trained models and five fine-tuning parameters, totaling 120 combinations, on two platforms.",1,
2009.01947,1,"We present combinatorial and parallelizable algorithms for maximization of a submodular function, not necessarily monotone, with respect to a size constraint",1,0,N/A ,0,1,"We improve the best approximation factor achieved by an algorithm that has optimal adaptivity and nearly optimal query complexity to $0.193 - \varepsilon$.' and also 'In this version, we propose a fixed and improved subroutine to add a set with high average marginal gain, \threseq, which returns a solution in $O( \log(n) )$ adaptive rounds with high probability.",0,0,N/A ,1,0,N/A ,1,0,N/A ,1,0,N/A ,1,0,N/A ,1,0,N/A ,1,0,N/A ,1,1,"Our algorithms are empirically validated to use a low number of adaptive rounds and total queries while obtaining solutions with high objective value in comparison with state-of-the-art approximation algorithms, including continuous algorithms that use the multilinear extension.",1,
