paper,,paper_url,notes,empirical_dataset,code_avail_article,code_avail_article_desc,code_avail_url,pwc_link_avail,pwc_link_match,pwc_link_desc,result_replication_code_avail,code_language,package,wrapper_scripts,wrapper_scripts_desc,hardware_specifications,software_dependencies,software_dependencies_desc,will_it_reproduce,will_it_reproduce_desc,parsed_readme,problem,problem_desc,objective,objective_desc,research_method,research_method_desc,research_questions,research_questions_desc,pseudocode,pseudocode_desc,dataset,dataset_desc,hypothesis,hypothesis_desc,prediction,experiment_setup,experiment_setup_desc
Paper,,Paper,Notes,Empirical dataset,Is code available? (mentioned in the article) (binary),Is code available? (mentioned in the article) (description,"URL of the repository, if available",Does Paperswithcode have a link?,Does the Paperswithcode link match the link provided in the article?,Paperswithcode link,Result replication code,What language(s) is the code in?,Is it a package?,binary,"Is there a wrapper script? (run.sh, run.py, main.py, MAKEFILE, etc.) If yes, what's the name?",Hardware specifications,binary,"Software dependencies (pyproject.toml, requirements.txt, etc.) What is the name of the file?",Do you think the code will reproduce within a minute of assessment? (binary),Do you think the code will reproduce within a minute of assessment? (desciption),,Problem,,Objective,,Research method,,Research questions,,Pseudocode,description,Train/test/validation dataset,description,Hypothesis,,Prediction,Experiment setup,description
1606.04671,https://arxiv.org/pdf/1606.04671.pdf,https://arxiv.org/pdf/1606.04671.pdf,No code or data released,Might be using a generated dataset from mathematical model. Plays games with certain parameters,0,,,0,0,,,,,0,,,0,,,,,0,The contributions of this paper are threefold,0,,0,,0,,0,,0,,0,,0,1,
1903.09668,https://arxiv.org/pdf/1903.09668.pdf,https://arxiv.org/pdf/1903.09668.pdf,No code or data released,"Kaggle and UCI repo, links to paper for preprocessing steps",0,,,0,0,,,,,0,,,0,,,,,0,,0,,0,,0,,1,"Called ""Algorithm 1, 2..""",0,"Has links to UCI and Kaggle datasets, and a reference to another paper's dataset",0,,0,1,"Under the heading ""Experiments"""
1904.10554,https://arxiv.org/pdf/1904.10554.pdf,https://arxiv.org/pdf/1904.10554.pdf,No code or data released,Might be using a generated dataset from mathematical model. Training an agent for Nash equlibrium model,0,,,0,0,,,,,0,,,0,,,,,0,,0,"Rather than taking a model-based approach, it is possible to derive non-parametric reinforcement-learning (RL) methods to study these equilibria. The main idea behind these methods is to directly approximate equilibria from simulations or observed data, providing a powerful alternative to the usual approach",0,,0,,1,"Called ""Algorithm 1, 2..""",0,,0,,0,1,"Under the heading ""Experiments"""
1908.05659,https://arxiv.org/pdf/1908.05659.pdf,https://arxiv.org/pdf/1908.05659.pdf,"90 page review, no experiments, mostly math",,0,,,0,0,,,,,0,,,0,,,,,0,,0,,0,,0,,0,,0,,0,,0,0,
1909.00931,https://arxiv.org/pdf/1909.00931.pdf,https://arxiv.org/pdf/1909.00931.pdf,,GLUE dataset. Other datasets downloaded per details in cited articles,1,They have a github repository (not linked in the paper itself) which contains the pretrained models. No code or algorithms from the paper,https://github.com/yukiar/TransferFT,1,1,"Yes, same repo, but still no code (Official Code)",,Python,,0,,1,0,,,,,1,These tasks are central problems in natural language unde,0,,0,,0,,1,"Called ""Algorithm 1, 2..""",1,They link 4 datasets in the paper,1,,0,1,"""Evaluation setting"""
1911.03867,https://arxiv.org/pdf/1911.03867.pdf,https://arxiv.org/pdf/1911.03867.pdf,No code or data released,,0,,,0,0,,,,,0,,,0,,,,,0,,0,,0,,0,,0,,1,Mentions dataset references and details but not obtainable ,0,,0,0,
2002.05905,https://arxiv.org/pdf/2002.05905.pdf,https://arxiv.org/pdf/2002.05905.pdf,No code or data shared,,0,,,0,0,,,,,0,,,0,,,,,0,,0,,0,,0,,0,,0,,0,,0,1,Experimental assessment
2004.05258,https://arxiv.org/pdf/2004.05258.pdf,https://arxiv.org/pdf/2004.05258.pdf,,Uses some malware datasets from citations. No code or data respository,0,,,0,0,,,,,0,,,0,,,,,0,,0,,1,,0,,0,,1,Dataset references,0,,0,1,Setup section under Evaluation Result
2009.01947,https://arxiv.org/pdf/2009.01947.pdf,https://arxiv.org/pdf/2009.01947.pdf,Good! Has scripts to reproduce figures. Paper compares algorithms,,1,Yes,https://gitlab.com/luciacyx/nm-adaptive-code,1,1,"Yes, same repo (Official Code)",1,"C++, python",,1,"gen-table.bash, reproduce.bash",,1,NA/makefile,1,,readme_dependencies,0,,0,,0,,0,,1,"Called ""Algorithm 1, 2..""",1,We evaluate on a variety of network technologies from the Stanford Large Network Dataset Collection,0,,0,1,"Appendix, Additional Experiments"
